FMTable,FMTableKey
Cities,City
Colors,ColorID
FMTableKeys,FMTable
Flagtypes,flagtype_id
Lines,Line
Stops_Neue,h_stp_511_id
Places_Neue,h_plc_identifier
PubTimetables,PubTimetableID
SignTypes,SignType
Signs,SignID
Signs_Stops_Join,SSJ_Serial
Agencies,agency_id
TransitHubs,ShortName
ZipCodes,zip_code
LineGroupTypes,LineGroupType
I18N,i18n_id
annu,annu_sign_text
