c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
FTHL MANC,Castro Valley,Foothill Blvd. & Manchester Road,32,Foothill Blvd. & Manchester Road,0,Foothill Blvd. & Manchester Road,Foothill Blvd. & Manchester Road,37.7052537,-122.1157354,Foothill Blvd. & Manchester Road,98,FAMC,FTHLMANC,,FTHL MANC,Alameda County,Foothill Blvd. & Manchester Road,,Castro Valley,Foothill Blvd. & Manchester Road,,,,,
JUVI CMPX,Castro Valley,Alameda County Juvenile Justice Center,38,Alameda County Juvenile Justice Center,2,"Alameda County Juvenile Justice Center, Castro Valley","Alameda County Juvenile Justice Center, Castro Valley",37.7156941,-122.1205989,Alameda County Juvenile Justice Center,98,JUCM,JUVICMPX,,JUVI CMPX,Alameda County,Alameda County Juvenile Justice Center,,Castro Valley,Alameda County Juvenile Justice Center,,,,1,1
106T BANC,Oakland,106th Ave. & Bancroft Ave.,26,106th Ave. & Bancroft Ave.,0,"106th Ave. & Bancroft Ave., Oakland","106th Ave. & Bancroft Ave., Oakland",37.7416243,-122.1566092,106th Ave. & Bancroft Ave.,10,106B,106TBANC,,106T BANC,Oakland,106th Ave. & Bancroft Ave.,,,106th Ave. & Bancroft Ave.,,,,1,1
106 MACA,Oakland,106th Ave. & MacArthur Blvd.,28,106th Ave. & MacArthur Blvd.,0,"106th Ave. & MacArthur Blvd., Oakland","106th Ave. & MacArthur Blvd., Oakland",37.7431808,-122.1525173,106th Ave. & MacArthur Blvd.,10,106M,106 MACA,,106 MACA,Oakland,106th Ave. & MacArthur Blvd.,,,106th Ave. & MacArthur Blvd.,,,,1,1
BISH SRHS,Oakland,Bishop O'Dowd High School,25,Bishop O'Dowd High School,2,"Bishop O'Dowd High School, Oakland","Bishop O'Dowd High School, Oakland",37.7514429,-122.1548945,Bishop O'Dowd High School,10,BISH,BISHSRHS,,BISH SRHS,Oakland,Bishop O'Dowd High School,,,Bishop O'Dowd High School,,,,1,1
FTHL 106,Oakland,Foothill Square,15,Foothill Square,2,"Foothill Square, Oakland","Foothill Square, Oakland",37.7437248,-122.1482075,Foothill Square,10,F106,FTHL 106,,FTHL 106,Oakland,Foothill Square,,,Foothill Square,,,,1,1
FTHL SQRE,Oakland,Foothill Square,15,Foothill Square,0,"Foothill Square, Oakland","Foothill Square, Oakland",37.7421905,-122.1512783,Foothill Square,10,FTSQ,FTHLSQRE,,FTHL SQRE,Oakland,Foothill Square,,,,,,,1,1
MTN. GOLK,Oakland,Mountain Blvd. & Golf Links Road,32,Mountain Blvd. & Golf Links Road,2,Mountain Blvd. & Golf Links Road,Mountain Blvd. & Golf Links Road,37.7540547,-122.1498700,Mountain Blvd. & Golf Links Road,10,MTGL,MTN.GOLK,,MTN. GOLK,Oakland,Mountain Blvd. & Golf Links Road,,,Mountain Blvd. & Golf Links Road,,,,,
OAKL ZOO,Oakland,Oakland Zoo,11,Oakland Zoo,1,Oakland Zoo,Oakland Zoo,37.7526439,-122.1501299,Oakland Zoo,10,OAZO,OAKLZOO,,OAKL ZOO,Oakland,Oakland Zoo,,,,,,,,0
ELYS FLDS,Oakland,Elysian Fields Dr. & Golf Links Road,36,Elysian Fields Dr. & Golf Links Road,2,"Elysian Fields Dr. & Golf Links Road, Oakland","Elysian Fields Dr. & Golf Links Road, Oakland",37.7574529,-122.1409890,Elysian Fields Dr. & Golf Links Road,10,ELFL,ELYSFLDS,,ELYS FLDS,Oakland,Elysian Fields Dr. & Golf Links Road,,,Elysian Fields Dr. & Golf Links Road,,,,1,1
CRES FONT,Oakland,Crest Ave. & Fontaine St.,25,Crest Ave. & Fontaine St.,1,"Crest Ave. & Fontaine St., Oakland","Crest Ave. & Fontaine St., Oakland",37.7612193,-122.1519003,Crest Ave. & Fontaine St.,10,CRFO,CRESFONT,,CRES FONT,Oakland,Crest Ave. & Fontaine St.,,,,,,,1,1
HOW. SCH.,Oakland,Howard Elementary School,24,Howard Elementary School,0,"Howard Elementary School, Oakland","Howard Elementary School, Oakland",37.7610223,-122.1521280,Howard Elementary School,10,HOSC,HOW.SCH.,,HOW. SCH.,Oakland,Howard Elementary School,,,Howard Elementary School,,,,1,1
KELL MTN.,Oakland,Keller Ave. & Mountain Blvd.,28,Keller Ave. & Mountain Blvd.,2,"Keller Ave. & Mountain Blvd., Oakland","Keller Ave. & Mountain Blvd., Oakland",37.7715128,-122.1558972,Keller Ave. & Mountain Blvd.,10,KEMT,KELLMTN.,,KELL MTN.,Oakland,Keller Ave. & Mountain Blvd.,,,,,,,1,1
KING MDLS,Oakland,King Estates Middle School,26,King Estates Middle School,2,"King Estates Middle School, Oakland","King Estates Middle School, Oakland",37.7654096,-122.1527861,King Estates Middle School,10,KIMD,KINGMDLS,,KING MDLS,Oakland,King Estates Middle School,,,,,,,1,1
NAVL HOSP,Oakland,Mountain Blvd. & Blackwood St.,30,Mountain Blvd. & Blackwood St.,0,"Mountain Blvd. & Blackwood St., Oakland","Mountain Blvd. & Blackwood St., Oakland",37.7642976,-122.1494809,Mountain Blvd. & Blackwood St.,10,NAHO,NAVLHOSP,,NAVL HOSP,Oakland,Mountain Blvd. & Blackwood St.,,,Mountain Blvd. & Blackwood St.,,,,1,1
SEQU MTN,Oakland,Sequoyah Road & Mountain Blvd.,30,Sequoyah Road & Mountain Blvd.,2,"Sequoyah Road & Mountain Blvd., Oakland","Sequoyah Road & Mountain Blvd., Oakland",37.7605588,-122.1476758,Sequoyah Road & Mountain Blvd.,10,SEMT,SEQUMTN,,SEQU MTN,Oakland,Sequoyah Road & Mountain Blvd.,,,Sequoyah Road & Mountain Blvd.,,,,1,1
DUNK GOLF,Oakland,Dunkirk Ave. & Golf Links Road,30,Grass Valley,2,"Dunkirk Ave. & Golf Links Road, Oakland",Grass Valley,37.7527417,-122.1258451,Dunkirk Ave. & Golf Links Road,10,DUGO,DUNKGOLF,,DUNK GOLF,Oakland,Dunkirk Ave. & Golf Links Road,,,Dunkirk Ave. & Golf Links Road,Grass Valley,,,1,
CHAB COLL,Hayward,Chabot College,14,Chabot College,2,"Chabot College, Hayward","Chabot College, Hayward",37.6439369,-122.1050838,Chabot College,08,CHCO,CHABCOLL,,CHAB COLL,Hayward,Chabot College,,,,,,,1,1
LAPL CALA,Hayward,La Playa Dr. & Calaroga Ave.,28,La Playa Dr. & Calaroga Ave.,0,"La Playa Dr. & Calaroga Ave., Hayward","La Playa Dr. & Calaroga Ave., Hayward",37.6495116,-122.1015806,La Playa Dr. & Calaroga Ave.,08,LACA,LAPLCALA,,LAPL CALA,Hayward,La Playa Dr. & Calaroga Ave.,,,La Playa Dr. & Calaroga Ave.,,,,1,1
SOLD MALL,Hayward,Southland Mall,14,Southland Mall,0,"Southland Mall, Hayward","Southland Mall, Hayward",37.6519468,-122.1051582,Southland Mall,08,SLML,SOLDMALL,,SOLD MALL,Hayward,Southland Mall,,,,,,,1,1
WINT HESP,Hayward,Winton Ave. & Hesperian Blvd.,29,Winton Ave. & Hesperian Blvd.,2,"Winton Ave. & Hesperian Blvd., Hayward","Winton Ave. & Hesperian Blvd., Hayward",37.6533217,-122.1098970,Winton Ave. & Hesperian Blvd.,08,WIHE,WINTHESP,,WINT HESP,Hayward,Winton Ave. & Hesperian Blvd.,,,,,,,1,1
SO.L SEAR,Hayward,Southland Shopping Center,25,Southland Shopping Center,0,"Southland Shopping Center, Hayward","Southland Shopping Center, Hayward",37.6513644,-122.1010677,Southland Shopping Center,08,SOSE,SO.LSEAR,,SO.L SEAR,Hayward,Southland Shopping Center,,,Southland Shopping Center,,,,1,1
