Unicode, Glyph, AdvWidth, LSdBearing
U+201C, 105, 481, 34
U+201D, 119, 481, 34
U+201E, 118, 481, 34
U+2020, 112, 556, 59
U+2021, 113, 556, 59
U+2022, 116, 500, 76
U+2026, 121, 1000, 97
U+2030, 122, 1000, 9
U+2039, 107, 333, 49
U+203A, 108, 333, 40
U+2044, 99, 167, -166
U+20AC, 233, 556, -4
U+2113, 234, 507, 24
U+2122, 153, 1000, 48
U+2126, 230, 707, 39
U+212E, 235, 870, 34
U+2202, 236, 568, 38
U+2206, 259, 653, 27
U+220F, 237, 715, 24
U+2211, 238, 555, 23
U+2212, 166, 600, 46
U+2215, 252, 167, -166
U+2219, 239, 278, 62
U+221A, 240, 587, 32
U+221E, 241, 774, 48
U+222B, 242, 389, 19
U+2248, 243, 550, 39
U+2260, 244, 550, 48
U+2264, 245, 550, 49
U+2265, 246, 550, 50
U+25CA, 247, 587, 50
U+FB01, 109, 667, 19
U+FB02, 110, 667, 19
